N M h2 pval
-1 -1 0.0001 0.0031099356600324812
-1 -1 0.0001 0.10633994361904486
-1 -1 0.0001 0.00020702623606516646
-1 -1 0.0001 0.25162328205254925
-1 -1 0.0001 0.19803930450088836
-1 -1 0.0001 0.05773395438918272
-1 -1 0.0001 0.10480361150790529
-1 -1 0.0001 0.08872220174946321
-1 -1 0.0001 1.2416171583096158e-06
-1 -1 0.0001 4.736868910337755e-05
-1 -1 0.0001 0.00523886417249686
-1 -1 0.0001 0.008682598944653508
-1 -1 0.0001 0.01144794762081236
-1 -1 0.0001 0.9110259051209574
-1 -1 0.0001 0.664717720796433
-1 -1 0.0001 0.21640175997423383
-1 -1 0.0001 0.006934770528544076
-1 -1 0.0001 0.02453661545288044
-1 -1 0.0001 0.017484066780922847
-1 -1 0.0001 0.28883526161425344
-1 -1 0.0001 0.10604084792927282
-1 -1 0.0001 0.01278843838937338
-1 -1 0.0001 0.04487261992067082
-1 -1 0.0001 0.04271163035337122
-1 -1 0.0001 9.17262547980302e-05
-1 -1 0.0001 0.4642944072807864
-1 -1 0.0001 0.0027903569253189264
-1 -1 0.0001 0.01642660893576675
-1 -1 0.0001 0.008627202202063033
-1 -1 0.0001 0.10993045303337201
-1 -1 0.0001 0.00023203868094556768
-1 -1 0.0001 0.2605635310353034
-1 -1 0.0001 0.004138717503183953
-1 -1 0.0001 0.0005972538931795501
-1 -1 0.0001 0.18298538198750913
-1 -1 0.0001 0.0015574770201709498
-1 -1 0.0001 0.0667027381463603
-1 -1 0.0001 5.97242512911933e-05
-1 -1 0.0001 0.7858343060128303
-1 -1 0.0001 0.043000582348004635
-1 -1 0.0001 0.001768775917456722
-1 -1 0.0001 0.011094529114519913
-1 -1 0.0001 0.044519331803606566
-1 -1 0.0001 0.005222609031339975
-1 -1 0.0001 0.9058295685274413
-1 -1 0.0001 0.004035520134261894
-1 -1 0.0001 0.07897295029293139
-1 -1 0.0001 0.13342804835687117
-1 -1 0.0001 0.027785561693811855
-1 -1 0.0001 0.005419149568294701
-1 -1 0.0001 2.767097596612089e-07
-1 -1 0.0001 0.001378108437432246
-1 -1 0.0001 0.21364082264279882
-1 -1 0.0001 1.2121569719525382e-05
-1 -1 0.0001 0.06536035817170882
-1 -1 0.0001 0.4635119363754714
-1 -1 0.0001 0.002891508273370258
-1 -1 0.0001 0.1417592781267375
-1 -1 0.0001 0.036866787047236005
-1 -1 0.0001 0.11756072682806407
-1 -1 0.0001 0.009668730551028792
-1 -1 0.0001 0.0006432425284997878
-1 -1 0.0001 0.136594345350612
-1 -1 0.0001 0.06235024439418302
-1 -1 0.0001 0.00014956738641069833
-1 -1 0.0001 0.008372029883867205
-1 -1 0.0001 0.18286227928784737
-1 -1 0.0001 0.07857135688603711
-1 -1 0.0001 0.0005976616130078938
-1 -1 0.0001 0.038255510591352015
-1 -1 0.0001 0.0042352434495502855
-1 -1 0.0001 0.00350542865694381
-1 -1 0.0001 0.03469560263072369
-1 -1 0.0001 0.03151602171653989
-1 -1 0.0001 0.003807553661724028
-1 -1 0.0001 0.16293731990431648
-1 -1 0.0001 1.6682765391351495e-08
-1 -1 0.0001 0.7119461928809019
-1 -1 0.0001 0.002332839259769681
-1 -1 0.0001 0.014338237706601031
-1 -1 0.0001 0.029007987555788706
-1 -1 0.0001 0.0069464509693074605
-1 -1 0.0001 0.001584408792726033
-1 -1 0.0001 0.10137103554684535
-1 -1 0.0001 0.06966467947190824
-1 -1 0.0001 0.4011446168057162
-1 -1 0.0001 0.8287193748006083
-1 -1 0.0001 0.024906799348207276
-1 -1 0.0001 0.016839058393497752
-1 -1 0.0001 0.041583277362121196
-1 -1 0.0001 0.4683464434767054
-1 -1 0.0001 0.02246999774625147
-1 -1 0.0001 0.006445465034285336
-1 -1 0.0001 0.23290037083025328
-1 -1 0.0001 0.002921344214496635
-1 -1 0.0001 0.6292290814043524
-1 -1 0.0001 0.020286693866779615
-1 -1 0.0001 0.008914328157315188
-1 -1 0.0001 0.010497403713664033
-1 -1 0.0001 7.829759615218812e-05
-1 -1 0.0001 0.001045075539882312
-1 -1 0.0001 0.004385229018294301
-1 -1 0.0001 0.04401134913221538
-1 -1 0.0001 0.0005329890546048599
-1 -1 0.0001 7.997403127735225e-06
-1 -1 0.0001 0.12582648858252654
-1 -1 0.0001 0.05486229595777148
-1 -1 0.0001 8.866766843640406e-06
-1 -1 0.0001 0.0017820886105144318
-1 -1 0.0001 0.12996713585969877
-1 -1 0.0001 0.0003519844692608798
-1 -1 0.0001 0.024666228052579897
-1 -1 0.0001 2.756264340941783e-05
-1 -1 0.0001 0.0014030032849252638
-1 -1 0.0001 0.7176334691922093
-1 -1 0.0001 0.0002882952968205066
-1 -1 0.0001 0.053496484204604844
-1 -1 0.0001 0.0022369167050384497
-1 -1 0.0001 0.034817621396675436
-1 -1 0.0001 0.08877489875584776
-1 -1 0.0001 0.09908364527832281
-1 -1 0.0001 2.9521053146464027e-07
-1 -1 0.0001 0.00983428109901241
-1 -1 0.0001 0.03549301748783995
