N M h2 pval
-1 -1 0.0001 0.10491067732865234
-1 -1 0.0001 0.0022638090408340084
-1 -1 0.0001 5.92696716150698e-07
-1 -1 0.0001 0.01635148526146435
-1 -1 0.0001 0.06646686114848
-1 -1 0.0001 0.1936202222787562
-1 -1 0.0001 0.03271915597747188
-1 -1 0.0001 0.09048995786579994
-1 -1 0.0001 0.4602817900397015
-1 -1 0.0001 2.674633847732366e-10
-1 -1 0.0001 0.0012742697271238557
-1 -1 0.0001 8.6329690285325e-08
-1 -1 0.0001 0.031002051406102682
-1 -1 0.0001 0.026117801656126538
-1 -1 0.0001 0.0009209057418385624
-1 -1 0.0001 0.387612794700526
-1 -1 0.0001 3.205805110262361e-08
-1 -1 0.0001 0.03282053376116645
-1 -1 0.0001 0.30550747417007496
-1 -1 0.0001 0.0014307587178634673
-1 -1 0.0001 0.0858820223476453
-1 -1 0.0001 0.0036357575987674418
-1 -1 0.0001 0.0006614582910242639
-1 -1 0.0001 0.030490168038638132
-1 -1 0.0001 0.15796484548981538
-1 -1 0.0001 5.01396849335034e-05
-1 -1 0.0001 0.0031933714581303674
-1 -1 0.0001 3.214033423848406e-06
-1 -1 0.0001 0.004843679646818755
-1 -1 0.0001 0.04138569943347936
-1 -1 0.0001 3.225726796785011e-09
-1 -1 0.0001 0.05143158208647036
-1 -1 0.0001 8.040028049993708e-07
-1 -1 0.0001 0.16410261395509995
-1 -1 0.0001 0.019002773241306503
-1 -1 0.0001 0.08531006536813979
-1 -1 0.0001 0.09903331917179914
-1 -1 0.0001 0.0021520991181788185
-1 -1 0.0001 3.427346251916319e-05
-1 -1 0.0001 0.014770230081965319
-1 -1 0.0001 0.0055315925190709825
-1 -1 0.0001 3.6658348843587873e-05
-1 -1 0.0001 0.05453639557109924
-1 -1 0.0001 0.4003531309221088
-1 -1 0.0001 0.2663616450395365
-1 -1 0.0001 0.09510810575704898
-1 -1 0.0001 3.2221593952774796e-05
-1 -1 0.0001 1.583636335222849e-05
-1 -1 0.0001 0.0025304794577721834
-1 -1 0.0001 0.00024735230688044396
-1 -1 0.0001 0.5900916046567433
-1 -1 0.0001 0.9340726850705376
-1 -1 0.0001 0.0012667305334677081
-1 -1 0.0001 0.04465249720011766
-1 -1 0.0001 0.18157204090394807
-1 -1 0.0001 0.023760169577153656
-1 -1 0.0001 0.05305739043106539
-1 -1 0.0001 0.2221451883043638
-1 -1 0.0001 0.24915270656670296
-1 -1 0.0001 8.300454434895244e-08
-1 -1 0.0001 5.552628993321651e-05
-1 -1 0.0001 2.3536852478134307e-06
-1 -1 0.0001 0.13368619960687256
-1 -1 0.0001 0.024645376289823884
-1 -1 0.0001 0.00011147914137588089
-1 -1 0.0001 0.0029963332191620395
-1 -1 0.0001 2.70458073381441e-07
-1 -1 0.0001 0.3233012783100765
-1 -1 0.0001 0.001016805029626866
-1 -1 0.0001 0.004727773898351995
-1 -1 0.0001 2.7513244598154074e-06
-1 -1 0.0001 0.5402219306798952
-1 -1 0.0001 1.7675967709518403e-05
-1 -1 0.0001 0.12040183752645872
-1 -1 0.0001 0.04151552640539147
-1 -1 0.0001 0.43232414562974397
-1 -1 0.0001 0.6506887099254943
-1 -1 0.0001 7.76239104469667e-05
-1 -1 0.0001 0.013017626573653462
-1 -1 0.0001 0.25888357746879387
-1 -1 0.0001 0.1111391578244707
-1 -1 0.0001 0.009615134612495857
-1 -1 0.0001 0.0070033370434737785
-1 -1 0.0001 0.15337042721650684
-1 -1 0.0001 0.029854127005181752
-1 -1 0.0001 0.33622813599706924
-1 -1 0.0001 5.456245558677075e-05
-1 -1 0.0001 0.9453634235601072
-1 -1 0.0001 0.7040383997440505
-1 -1 0.0001 0.0021571185289931405
-1 -1 0.0001 0.00955348530589406
-1 -1 0.0001 1.2308464881760628e-05
-1 -1 0.0001 0.17918452866007728
-1 -1 0.0001 0.01272706051336836
-1 -1 0.0001 0.00018646833795454842
-1 -1 0.0001 1.4584120124339073e-05
-1 -1 0.0001 0.16941475814596707
-1 -1 0.0001 0.0029274533140135617
-1 -1 0.0001 0.0463942615442926
-1 -1 0.0001 0.04855923837583187
-1 -1 0.0001 0.009535126648181347
-1 -1 0.0001 0.22527821918455482
-1 -1 0.0001 0.12573940859798216
-1 -1 0.0001 0.003025988915303812
-1 -1 0.0001 0.009490891898010556
-1 -1 0.0001 0.001077405171573842
-1 -1 0.0001 0.03948485829566928
-1 -1 0.0001 0.059568297403329806
-1 -1 0.0001 0.0007536416362552423
-1 -1 0.0001 0.09397685782944276
-1 -1 0.0001 0.5623741931950662
-1 -1 0.0001 0.06557941539018808
-1 -1 0.0001 0.31507909048468485
-1 -1 0.0001 0.00012228858575669133
-1 -1 0.0001 0.13802078595775813
-1 -1 0.0001 0.11369428840061457
-1 -1 0.0001 0.17140012748555034
-1 -1 0.0001 0.01621678268660942
-1 -1 0.0001 0.40997782979725783
-1 -1 0.0001 0.10514303417602422
-1 -1 0.0001 0.0013590612571410254
-1 -1 0.0001 0.0008814713549839537
-1 -1 0.0001 0.006720137411754257
-1 -1 0.0001 1.2284795403161297e-09
