N,M,h2,h2_est,h2_diff
-1,-1,0.005,0.0030278350245683578,0.0019721649754316424
-1,-1,0.005,0.004972055428721852,2.7944571278148284e-05
-1,-1,0.005,0.00578318924119734,-0.00078318924119734
-1,-1,0.005,0.004109851755248072,0.0008901482447519283
-1,-1,0.005,0.004746925054611725,0.0002530749453882753
-1,-1,0.005,0.004283253251383189,0.0007167467486168108
-1,-1,0.005,0.006723668443026599,-0.0017236684430265992
-1,-1,0.005,0.0049400010108837985,5.9998989116201613e-05
-1,-1,0.005,0.006209938414220249,-0.001209938414220249
-1,-1,0.005,0.0029961171424161335,0.0020038828575838666
-1,-1,0.005,0.004753721204950441,0.0002462787950495591
-1,-1,0.005,0.004792912878840475,0.00020708712115952502
-1,-1,0.005,0.004128568202707292,0.0008714317972927082
-1,-1,0.005,0.004464493588116723,0.0005355064118832773
-1,-1,0.005,0.0058784725642778615,-0.0008784725642778613
-1,-1,0.005,0.004011032465017861,0.0009889675349821388
-1,-1,0.005,0.005156896986050027,-0.00015689698605002647
-1,-1,0.005,0.007102451350955665,-0.0021024513509556647
-1,-1,0.005,0.0047952984398966295,0.00020470156010337064
-1,-1,0.005,0.0050603320319661735,-6.033203196617338e-05
-1,-1,0.005,0.007168425513592301,-0.0021684255135923005
-1,-1,0.005,0.006115010554741724,-0.0011150105547417235
-1,-1,0.005,0.004057489915960184,0.0009425100840398165
-1,-1,0.005,0.0031222865684620987,0.0018777134315379014
-1,-1,0.005,0.0034100073418013694,0.0015899926581986307
-1,-1,0.005,0.004361524773917376,0.0006384752260826243
-1,-1,0.005,0.006565675878478768,-0.001565675878478768
-1,-1,0.005,0.006204155427614625,-0.0012041554276146253
-1,-1,0.005,0.0033483370636950105,0.0016516629363049896
-1,-1,0.005,0.005353895889976843,-0.000353895889976843
-1,-1,0.005,0.003996079254580489,0.001003920745419511
-1,-1,0.005,0.0032273060659760095,0.0017726939340239906
-1,-1,0.005,0.00492834018296033,7.165981703967025e-05
-1,-1,0.005,0.0044265980501361725,0.0005734019498638276
-1,-1,0.005,0.00560068466388968,-0.00060068466388968
-1,-1,0.005,0.0020620303819250296,0.0029379696180749705
-1,-1,0.005,0.004467272299798407,0.0005327277002015931
-1,-1,0.005,0.006374054861889572,-0.0013740548618895723
-1,-1,0.005,0.005621957756763761,-0.0006219577567637613
-1,-1,0.005,0.0035866716654896135,0.0014133283345103866
-1,-1,0.005,0.004620769734844708,0.0003792302651552922
-1,-1,0.005,0.0041172769185424994,0.0008827230814575007
-1,-1,0.005,0.005688027419796549,-0.000688027419796549
-1,-1,0.005,0.004903880522112407,9.611947788759276e-05
-1,-1,0.005,0.004791124483146901,0.00020887551685309924
-1,-1,0.005,0.005363223116985691,-0.0003632231169856913
-1,-1,0.005,0.006000985556469714,-0.0010009855564697143
-1,-1,0.005,0.0051380134710526685,-0.00013801347105266842
-1,-1,0.005,0.004228954743297759,0.0007710452567022408
-1,-1,0.005,0.005762383715959348,-0.0007623837159593475
-1,-1,0.005,0.004647580977846996,0.0003524190221530039
-1,-1,0.005,0.002859841889555578,0.002140158110444422
-1,-1,0.005,0.0024936773968651602,0.00250632260313484
-1,-1,0.005,0.005629999600525862,-0.0006299996005258617
-1,-1,0.005,0.004696991614894287,0.0003030083851057134
-1,-1,0.005,0.007232315039116974,-0.002232315039116974
-1,-1,0.005,0.0035877886535866576,0.0014122113464133425
-1,-1,0.005,0.005195194390643141,-0.0001951943906431412
-1,-1,0.005,0.0058927342798832764,-0.0008927342798832763
-1,-1,0.005,0.003683322346720759,0.001316677653279241
-1,-1,0.005,0.004855323008344688,0.00014467699165531239
-1,-1,0.005,0.004023786502169931,0.0009762134978300689
-1,-1,0.005,0.004002053864512935,0.0009979461354870647
-1,-1,0.005,0.005610090731558345,-0.0006100907315583449
-1,-1,0.005,0.005586084163664159,-0.0005860841636641592
-1,-1,0.005,0.006596730803977387,-0.0015967308039773866
-1,-1,0.005,0.0054380870386697075,-0.0004380870386697074
-1,-1,0.005,0.00372136105524994,0.0012786389447500602
-1,-1,0.005,0.00560695363164313,-0.0006069536316431296
-1,-1,0.005,0.005672142931255081,-0.0006721429312550806
-1,-1,0.005,0.005078931505305555,-7.893150530555518e-05
-1,-1,0.005,0.00408231654137632,0.0009176834586236797
-1,-1,0.005,0.0024398521556848723,0.002560147844315128
-1,-1,0.005,0.00530354318195035,-0.0003035431819503496
-1,-1,0.005,0.005632099353286169,-0.0006320993532861691
-1,-1,0.005,0.00471133032635549,0.00028866967364451004
-1,-1,0.005,0.00319609281271428,0.00180390718728572
-1,-1,0.005,0.007418645390472565,-0.0024186453904725645
-1,-1,0.005,0.002691732174936256,0.002308267825063744
-1,-1,0.005,0.004530814250021799,0.0004691857499782015
-1,-1,0.005,0.002890661680966536,0.0021093383190334642
-1,-1,0.005,0.006193374834541695,-0.001193374834541695
-1,-1,0.005,0.004681240072514058,0.00031875992748594227
-1,-1,0.005,0.005745935710186996,-0.0007459357101869957
-1,-1,0.005,0.005653842446682193,-0.0006538424466821929
-1,-1,0.005,0.004181322942416478,0.0008186770575835224
-1,-1,0.005,0.004646135582549746,0.0003538644174502538
-1,-1,0.01,0.005836618242874405,0.004163381757125596
-1,-1,0.01,0.009082786173300987,0.0009172138266990131
-1,-1,0.01,0.010390947235350457,-0.000390947235350457
