N,M,h2,h2_est
-1,10,0.01,0.008331771546546712
-1,10,0.01,0.014172366191301633
-1,10,0.01,0.009892858772437825
-1,10,0.01,0.012048570665698416
-1,10,0.01,0.011782208159629595
-1,10,0.01,0.008635612689896674
-1,10,0.01,0.008271057121143705
-1,10,0.01,0.009348124051735069
-1,10,0.01,0.009503346385179204
-1,10,0.01,0.014398543711806227
-1,10,0.01,0.011636831641655025
-1,10,0.01,0.010880155157002878
-1,10,0.01,0.00812924305016356
-1,10,0.01,0.0061428022594546185
-1,10,0.01,0.007319440713027417
-1,10,0.01,0.011127042072575564
-1,10,0.01,0.0119707042080296
-1,10,0.01,0.010034658332638507
-1,10,0.01,0.011439387659170828
-1,10,0.01,0.009636037863152156
-1,10,0.01,0.012285184301315954
-1,10,0.01,0.011423848874026695
-1,10,0.01,0.007672295853925669
-1,10,0.01,0.014081837572038385
-1,10,0.01,0.011322654426871474
-1,10,0.01,0.008626521333305296
-1,10,0.01,0.007036206682644122
-1,10,0.01,0.011419614645648342
-1,10,0.01,0.00908728742266192
-1,10,0.01,0.008847355082930337
-1,10,0.01,0.008347277748947331
-1,10,0.01,0.008616905532366848
-1,10,0.01,0.010685495737662684
-1,10,0.01,0.013919633957770178
-1,10,0.01,0.006834764743914579
-1,10,0.01,0.011502462597533432
-1,10,0.01,0.013121271126550888
-1,10,0.01,0.010691443739834612
-1,10,0.01,0.010696072227929908
-1,10,0.01,0.010324320167403795
-1,10,0.01,0.014259075286809504
-1,25,0.01,0.010246700178782934
-1,25,0.01,0.010237196694212143
-1,25,0.01,0.011462026828976079
-1,25,0.01,0.007985878881576345
-1,25,0.01,0.009419585155793766
-1,25,0.01,0.011551599833665938
-1,25,0.01,0.009689866610494372
-1,25,0.01,0.011290515553154502
-1,25,0.01,0.011706042729645167
-1,25,0.01,0.010471591039138445
-1,25,0.01,0.009278348967800163
-1,25,0.01,0.009317497666242442
-1,25,0.01,0.010491037514232974
-1,25,0.01,0.009304814038120763
-1,25,0.01,0.01047288636050137
-1,25,0.01,0.009623520491326724
-1,25,0.01,0.011169070173040618
-1,25,0.01,0.008797075012304891
-1,25,0.01,0.009652155320424691
-1,25,0.01,0.011727754497693792
-1,25,0.01,0.010416041924142569
-1,25,0.01,0.007501946731915417
-1,25,0.01,0.01039351829390318
-1,25,0.01,0.011593064037193726
-1,25,0.01,0.010590771682469649
-1,25,0.01,0.010729853948425287
-1,25,0.01,0.00706114055806304
-1,25,0.01,0.00988062253271948
-1,25,0.01,0.00743292600770282
-1,25,0.01,0.010521575519827384
-1,25,0.01,0.011677876802115556
-1,25,0.01,0.01135909423730552
-1,25,0.01,0.007982908640403854
-1,25,0.01,0.010110688487072335
-1,25,0.01,0.010380669292929698
-1,25,0.01,0.00890784652538681
-1,25,0.01,0.009823312618162805
-1,25,0.01,0.009980168507882707
-1,25,0.01,0.010226436623195424
-1,25,0.01,0.009411424159986193
-1,25,0.01,0.009595563739334753
-1,25,0.01,0.010790393493864982
-1,25,0.01,0.009807519127125533
-1,25,0.01,0.011381576331584148
-1,25,0.01,0.013002029789241771
-1,25,0.01,0.011466276600780598
-1,25,0.01,0.009580132870245386
-1,25,0.01,0.010425709687037356
-1,25,0.01,0.011842030072185716
-1,25,0.01,0.009109826844719598
-1,25,0.01,0.010100684926078182
-1,25,0.01,0.011058481585509204
-1,25,0.01,0.009107006390565562
-1,25,0.01,0.011277267133556089
-1,25,0.01,0.011068738966160882
-1,25,0.01,0.00908728742266192
-1,25,0.01,0.00967009491740797
-1,25,0.01,0.009742184066846645
-1,25,0.01,0.011081745154707771
-1,25,0.01,0.010172174621022679
-1,25,0.01,0.008891859109792436
-1,25,0.01,0.009197691489908257
-1,25,0.01,0.008962639169217277
-1,25,0.01,0.012103001022817162
-1,25,0.01,0.009642601014935897
-1,25,0.01,0.010768400647968116
-1,25,0.01,0.009644988712944952
-1,25,0.01,0.008959308916135183
-1,25,0.01,0.008469737105145717
-1,25,0.01,0.011757491612501529
-1,25,0.01,0.010539158385457884
-1,25,0.01,0.010318574277891339
-1,25,0.01,0.009240507543599561
-1,25,0.01,0.010147661440932996
-1,25,0.01,0.011180810862021053
-1,25,0.01,0.010312193667576294
-1,25,0.01,0.010449594813199807
-1,25,0.01,0.007973510104394298
-1,25,0.01,0.008622246331474124
-1,25,0.01,0.010533294202603568
-1,25,0.01,0.009491587305456068
-1,25,0.01,0.008831475267318376
-1,25,0.01,0.010057656672208412
-1,25,0.01,0.01026954417893266
-1,25,0.01,0.012918081969753175
-1,25,0.01,0.008988768626552046
-1,25,0.01,0.009763914394282633
-1,25,0.01,0.010607812968244928
-1,25,0.01,0.00905470337478162
-1,25,0.01,0.008665627914791996
-1,25,0.01,0.008686054261253203
-1,25,0.01,0.009497465042861933
-1,25,0.01,0.009747008886407102
-1,25,0.01,0.009464010162661053
-1,25,0.01,0.012893399810616176
-1,25,0.01,0.010898330653888401
-1,25,0.01,0.011028447461176484
-1,25,0.01,0.010524178556338484
-1,25,0.01,0.009362025385144216
-1,25,0.01,0.010274627463867123
-1,50,0.01,0.009169256706474132
-1,50,0.01,0.011654096409319333
-1,50,0.01,0.00935159746701918
-1,50,0.01,0.01132475357894001
-1,50,0.01,0.011529498071271276
-1,50,0.01,0.010138248870711122
-1,50,0.01,0.010895636094120151
-1,50,0.01,0.008546183995042436
-1,50,0.01,0.011196022809430035
-1,50,0.01,0.010786391492755109
-1,50,0.01,0.011113296435444111
-1,50,0.01,0.00876769480510874
-1,50,0.01,0.010748445629620728
-1,50,0.01,0.009840349154420416
-1,50,0.01,0.009239935366114595
-1,50,0.01,0.009611614155679871
-1,50,0.01,0.009497465042861933
-1,50,0.01,0.01105574787178735
-1,50,0.01,0.009805698419781128
-1,50,0.01,0.009486300422199445
-1,50,0.01,0.010169028633394465
-1,50,0.01,0.009622924827811585
-1,50,0.01,0.010259385074360871
-1,50,0.01,0.009881845482120679
-1,50,0.01,0.009932730251472382
-1,50,0.01,0.008559433458336605
-1,50,0.01,0.009801451403983408
-1,50,0.01,0.011257075486233047
-1,50,0.01,0.009244513768948123
-1,50,0.01,0.009701268465859197
-1,50,0.01,0.010235297044320172
-1,50,0.01,0.010273991917101643
-1,50,0.01,0.010003043224622827
-1,50,0.01,0.009690466377192133
-1,50,0.01,0.008883600918253912
-1,50,0.01,0.009408511216197925
-1,50,0.01,0.00988796247733555
-1,50,0.01,0.009636037863152138
-1,50,0.01,0.010218215886514547
-1,50,0.01,0.009327887917892028
-1,50,0.01,0.009647974158806291
-1,50,0.01,0.010305179505766437
-1,50,0.01,0.00965394779607344
-1,50,0.01,0.009958577924457018
-1,50,0.01,0.011148381038060474
-1,50,0.01,0.01039351829390318
-1,50,0.01,0.009320959808970498
-1,50,0.01,0.009483951632608418
-1,50,0.01,0.010368477301256163
-1,50,0.01,0.010372967438274943
-1,50,0.01,0.009965358549303029
-1,50,0.01,0.009061996615127093
-1,50,0.01,0.01060191099402369
