N,M,h2,h2_est
-1,25,0.01,0.009418418870243474
-1,25,0.01,0.010057034409999745
-1,25,0.01,0.009258262466344444
-1,25,0.01,0.009894083221214833
-1,25,0.01,0.009705472497392856
-1,25,0.01,0.010070109922573324
-1,25,0.01,0.009505699931966812
-1,25,0.01,0.010668331001373203
-1,25,0.01,0.010900352006199286
-1,25,0.01,0.010513120049569056
-1,25,0.01,0.00987634338967641
-1,25,0.01,0.00908053637713646
-1,25,0.01,0.010456706231918007
-1,25,0.01,0.009101931753231167
-1,25,0.01,0.011249425938669955
-1,25,0.01,0.01048714536287741
-1,25,0.01,0.008293644929898735
-1,25,0.01,0.009430672005471508
-1,25,0.01,0.009196552423046686
-1,25,0.01,0.008822179546487284
-1,25,0.01,0.007643324060584429
-1,25,0.01,0.0096653077990505
-1,25,0.01,0.008684439921212641
-1,25,0.01,0.009083911278487285
-1,25,0.01,0.009411424159986193
-1,25,0.01,0.009826352713554079
-1,25,0.01,0.008908398323372833
-1,25,0.01,0.009006044249203189
-1,25,0.01,0.010773728172151428
-1,25,0.01,0.009825136563633
-1,25,0.01,0.011299589125404248
-1,25,0.01,0.008952652088252334
-1,25,0.01,0.0108371921609796
-1,25,0.01,0.009995000253993006
-1,25,0.01,0.009603882861355393
-1,25,0.01,0.008840233048446914
-1,25,0.01,0.010909115484911363
-1,25,0.01,0.010075718863498473
-1,25,0.01,0.009844003644865104
-1,25,0.01,0.010227069258599302
-1,25,0.01,0.0073535782383122306
-1,25,0.01,0.009971526719599366
-1,25,0.01,0.009798418936369608
-1,25,0.01,0.009475735404043322
-1,25,0.01,0.008782916826016283
-1,25,0.01,0.008672073190684786
-1,25,0.01,0.011128417560504545
-1,25,0.01,0.010769066445963198
-1,25,0.01,0.011290515553154502
-1,25,0.01,0.012159175572066598
-1,25,0.01,0.01112016715402091
-1,25,0.01,0.010918560869852668
-1,25,0.01,0.011136674019290907
-1,25,0.01,0.010312831552869463
-1,25,0.01,0.01050337209135294
-1,25,0.01,0.009500993415524217
-1,25,0.01,0.010563300646264132
-1,25,0.01,0.011119479893205608
-1,25,0.01,0.00994995464348255
-1,25,0.01,0.010618313393468236
